French;Finnish;Hungarian
elles descendent;he menevät alas (naiset);ők lemennek (lányok)
MONTER;mennä ylös;felmenni
je monte;minä menen ylös;én felmegyek
tu montes;sinä menet ylös;te felmész
il monte;hän menee ylös (mies);ő felmegy (fiú)
elle monte;hän menee ylös (nainen);ő felmegy (lány)
nous montons;me menemme ylös;mi felmegyünk
vous montez;te menette ylös;ti felmentek
ils montent;he menevät ylös (miehet);ők felmennek (fiúk)
elles montent;he menevät ylös (naiset);ők felmennek (lányok)
ENTRER;mennä sisään;bemenni
j'entre;minä menen sisään;én bemegyek
tu entres;sinä menet sisään;te bemész
il entre;hän menee sisään (mies);ő bemegy (fiú)
elle entre;hän menee sisään (nainen);ő bemegy (lány)
nous entrons;me menemme sisään;mi bemegyünk
vous entrez;te menette sisään;ti bementek
ils entrent;he menevät sisään (miehet);ők bemennek (fiúk)
elles entrent;he menevät sisään (naiset);ők bemennek (lányok)
SORTIR;mennä ulos;kimenni
je sors;minä menen ulos;én kimegyek
tu sors;sinä menet ulos;te kimész
il sort;hän menee ulos (mies);ő kimegy (fiú)
elle sort;hän menee ulos (nainen);ő kimegy (lány)
nous sortons;me menemme ulos;mi kimegyünk
vous sortez;te menette ulos;ti kimentek
ils sortent;he menevät ulos (miehet);ők kimennek (fiúk)
elles sortent;he menevät ulos (naiset);ők kimennek (lányok)
COMPRENDRE;ymmärtää;megérteni
je comprends;minä ymmärrän;én megértek
tu comprends;sinä ymmärrät;te megértesz
il comprend;hän ymmärtää (mies);ő megért (fiú)
elle comprend;hän ymmärtää (nainen);ő megért (lány)
nous comprenons;me ymmärrämme;mi megértünk
vous comprenez;te ymmärrätte;ti megértetek
ils comprennent;he ymmärtävät (miehet);ők megértenek (fiúk)
elles comprennent;he ymmärtävät (naiset);ők megértenek (lányok)
