French;Finnish;Hungarian
autre;toinen, muu;más
autre chose;muuta;mást
beau, bel, belle;kaunis;szép
beaucoup;paljon;sok
belote (f.);eräs korttipeli (nainen);belot kártyajáték (lány)
bravo;hienoa, eläköön;bravó
ça dépend;se riippuu;attól függ
carte (f.);kortti (nainen);kártya (lány)
chanter;laulaa;énekelni
chose (f.);asia (nainen);dolog (lány)
concert (m.);konsertti (mies);koncert (fiú)
continuer;jatkaa;folytatni
cours (m.);kurssi (mies);tanfolyam / óra (fiú)
cousin, cousine;serkku (mies / nainen);unokatestvér (fiú / lány)
dépendre;riippua;függni
depuis;jostakin lähtien;óta
depuis dix ans;kymmenen vuoden ajan;tíz éve
dernier, dernière;viime;utolsó
échecs (m.);shakkipeli (mies);sakk (fiú)
électrique;sähkö-;elektromos
en général;yleensä;általában
en janvier;tammikuussa;januárban
encore;vielä;még
endroit (m.);paikka (mies);hely (fiú)
équipe (f.);joukkue (nainen);csapat (lány)
est-ce que;-ko, -kö;vajon / -e (kérdőszó)
étudiant, étudiante;opiskelija (mies / nainen);diák (fiú / lány)
étudier;opiskella;tanulni
faire de la natation;harrastaa uimista;úszni
finnois (m.);suomen kieli (mies);finn nyelv (fiú)
Français, Française;ranskalainen (mies / nainen);francia (fiú / lány)
groupe de rock (m.);rockbändi (mies);rockegyüttes (fiú)
groupe (m.);ryhmä (mies);csoport (fiú)
guitare (f.);kitara (nainen);gitár (lány)
hiver (m.);talvi (mies);tél (fiú)
janvier (m.);tammikuu (mies);január (fiú)
je voudrais;haluaisin;szeretnék
jeu vidéo (m.);videopeli (mies);videójáték (fiú)
jeudi (m.);torstai (mies);csütörtök (fiú)
jeu de cartes (m.);korttipeli (mies);kártyajáték (fiú)
jeu (m.);peli (mies);játék (fiú)
jouer à;pelata;játszani vmit
jouer de;soittaa (instrumenttia);hangszeren játszani
juin (m.);kesäkuu (mies);június (fiú)
l'année dernière;viime vuonna;tavaly
la fête de la musique;musiikkijuhlat;a zene ünnepe
ma ville natale (f.);syntymäkaupunkini (nainen);szülővárosom (lány)
mois (m.);kuukausi (mies);hónap (fiú)
montrer;näyttää;megmutatni
musique (f.);musiikki (nainen);zene (lány)
natal, natale;syntymä;születési
natation artistique (f.);taitouinti (nainen);szinkronúszás (lány)
neige (f.);lumi (nainen);hó (lány)
notre;meidän;mi
on organise;järjestetään;szerveznek
organiser;järjestää;szervezni
par exemple;esimerkiksi;például
par semaine;viikossa;hetente
passion (f.);intohimo (nainen);szenvedély (lány)
patinage (m.);luistelu (mies);korcsolyázás (fiú)
photo (f.);valokuva (nainen);fotó (lány)
piano (m.);piano (mies);zongora (fiú)
piscine (f.);uimahalli / uima-allas (nainen);uszoda / medence (lány)
poser des questions;esittää kysymyksiä;kérdéseket feltenni
poser;esittää, asettaa;feltenni, odatenni
possible;mahdollinen;lehetséges
préféré, préférée;mieli-, lempi-;kedvenc
professeur (m., f.);opettaja (mies / nainen);tanár (fiú / lány)
quand;kun, silloin kun;amikor
quelques;joitakin;néhány
question (f.);kysymys (nainen);kérdés (lány)
randonnée (f.);kävelylenkki, vaellus (nainen);túra (lány)
répondre;vastata;válaszolni
s'entraîner;harjoitella;edzeni, gyakorolni
saxophone (m.);saksofoni (mies);szaxofon (fiú)
semaine (f.);viikko (nainen);hét (lány)
si;jos;ha
soirée (f.);illanvietto (nainen);estély / esti program (lány)
souvent;usein;gyakran
suédois (m.);ruotsi (mies);svéd nyelv (fiú)
super;mahtavaa;szuper
sur internet;netissä;az interneten
tarot (m.);tarot (mies);tarot (fiú)
ville (f.);kaupunki (nainen);város (lány)
voici;tässä;íme
vraiment;oikeastaan;igazán
