Finnish (perusmuoto);Finnish (-va partisiippi);Finnish (-tava partisiippi);Finnish (-nut partisiippi);Finnish (-tu partisiippi);English;Hungarian
julkaista;julkaiseva;julkaistava;julkaissut;julkaistu;publish;közzétesz
kääntää;kääntävä;käännettävä;kääntänyt;käännetty;translate, turn;fordít
tulkita;tulkitseva;tulkittava;tulkinnut;tulkittu;interpret;értelmez
tutkia;tutkiva;tutkittava;tutkinut;tutkittu;research;kutat
mitata;mittaava;mitattava;mitannut;mitattu;measure;mér
verrata;vertaava;verrattava;verrannut;verrattu;compare;összehasonlít
arvata;arvaava;arvattava;arvannut;arvattu;guess;kitalál
kehittää;kehittävä;kehitettävä;kehittänyt;kehitetty;develop;fejleszt
järjestää;järjestävä;järjestettävä;järjestänyt;järjestetty;organize;szervez
suunnitella;suunnitteleva;suunniteltava;suunnitellut;suunniteltu;plan;tervez
valmistaa;valmistava;valmistettava;valmistanut;valmistettu;manufacture;készít
johtaa;johtava;johdettava;johtanut;johdettu;lead;vezet (embereket)
hallita;hallitseva;hallittava;hallinnut;hallittu;control;irányít
ohjata;ohjaava;ohjattava;ohjannut;ohjattu;guide;irányít, vezet
seurata;seuraava;seurattava;seurannut;seurattu;follow;követ
muuttaa;muuttava;muutettava;muuttanut;muutettu;change;változtat
kasvattaa;kasvattava;kasvatettava;kasvattanut;kasvatettu;raise, grow;nevel
jakaa;jakava;jaettava;jakanut;jaettu;divide, share;oszt
kerätä;keräävä;kerättävä;kerännyt;kerätty;collect;gyűjt
säilyttää;säilyttävä;säilytettävä;säilyttänyt;säilytetty;preserve;megőriz
tallentaa;tallentava;tallennettava;tallentanut;tallennettu;save (data);ment
poistaa;poistava;poistettava;poistanut;poistettu;remove;töröl
lisätä;lisäävä;lisättävä;lisännyt;lisätty;add;hozzáad
vähentää;vähentävä;vähennettävä;vähentänyt;vähennetty;reduce;csökkent
täyttää;täyttävä;täytettävä;täyttänyt;täytetty;fill;megtölt
tyhjentää;tyhjentävä;tyhjennettävä;tyhjentänyt;tyhjennetty;empty;kiürít
peittää;peittävä;peitettävä;peittänyt;peitetty;cover;betakar
paljastaa;paljastava;paljastettava;paljastanut;paljastettu;reveal;felfed
piilottaa;piilottava;piilotettava;piilottanut;piilotettu;hide;elrejt
pukea;pukeva;puettava;pukenut;puettu;dress;öltöztet
riisua;riisuva;riisuttava;riisunut;riisuttu;undress;levetkőztet
sitoa;sitova;sidottava;sitonut;sidottu;tie;köt
kutoa;kutova;kudottava;kutonut;kudottu;knit;köt/horgol
ommella;ompeleva;ommeltava;ommellut;ommeltu;sew;varr
kestää;kestävä;kestettävä;kestänyt;kestetty;endure, last;kibír, tart
